Comment,Author
連水桶文也被齁山孝子攻佔...台大沒救了,jason90814
我也以為是ginger...,kennyf506
繪畜生可變三連,isaswa
野兔也敢桶tiger 拉麵店見,daye87
真的以為是二樓被桶 XD,Lyu7
還以為是ginger,MRfridge
._.,NTUGinger
看成ginger,bicdyueh1212
雅太嘎,sHakZit75
==....,flower42
傻眼ㄉ文XD,maozz
有孝有推,IokUdiefirst
學以致用 推,david0426
在歐美注重人品的比較會毀前途吧 在亞洲...有錢就好,a6234709
flower42也是台大生逆,kbt2720
衫衫來遲,lanreless
懶得到處看房就BOT 沒差的話都可以 住校外有朋友比較有,EEzionT
聊,EEzionT
外宿爽住 比BOT離學校更近 租金8400,zouelephant
推住永和機能很好 不過就是人口密度很高,dd1115dd1115
萬隆是哪裡？台北住了三十年沒聽過....,kbt2720
剛剛查了一下太偏僻了吧...為什麼順著基隆路過來101這裡,kbt2720
？101對面一堆出租的阿，這裡比較方便吧,kbt2720
經費夠就住外面囉，也會比較自由的,taipoo
BOT煮飯很麻煩,lou3612
有騎車中永和，要省時間就BOT,cuteSquirrel
https://i.imgur.com/aag6tQn.jpg,ystaty17
誰住台北30年啊,ystaty17
沒聽過萬隆是腦子哪裡出問題,sean8511
笑死 直接打臉 雲住30年,bluedog666
單身想代收包裹丟垃圾選BOT 想帶另一半過夜請外租,abc8314970
好好笑wwwww,tryptochan
等著收傳票,kbt2720
萬隆就公館過去一站啊,ccdg
釣魚～釣魚～釣到什麼魚,daye87
BOT 還有令人垢弊的網路，爆PING、限流量,ekids1234
南部人裝台北人 笑死,shawncarter
好奇問個為什麼原po大一會想從bot 搬到校內宿舍？因為,Kuhaku01
我目前住水源也在考慮下學年搬到校內宿舍,Kuhaku01
還有住校內宿舍會有什麼不習慣或不方便的嗎？,Kuhaku01
B O T退宿檢查還是一樣垃圾 沒變喔,iop52896
為什麼退宿檢查這麼嚴格入住還會很髒@@,fatpigdog
來公館第一個月就知道萬隆了，沒聽過萬隆到底是www,ToTo0306
我覺得台大學生素質很好,kbt2720
這種人我就支持kbt嘴砲,jason90814
這麼喜歡無套喔,YellowWolf
A,cwh0105
小w,kantantantan
所以陳女跟黃女兩人都沒有說謊，是嗎?,fun5566
姓魏的不多呢…,bruce1119
有指名道姓嗎？在匿名平台po文沒指名道姓的話還可以,SoilChemist
抓人？,SoilChemist
aaaaaaaaaaa咦,GodMuii
這位也是小魏,sodistrues
招風耳超級醜看到笑出來,Royne
交不到女友看這男人女友一個一個換真難過QQ,saiulbb
影射也可以抓阿，不要以為影射就沒事。 台大沒有開法律,kbt2720
課嗎？,kbt2720
辱罵網友也有罪阿,kbt2720
欠吉死好 哈,gfhnrtjpoiuy
小魏xddd,aure0914
性別工作坊不出來講話？,handfox
仇男欸,handfox
可撥仇醫仔死好,diaoge
仇醫加仇男簡直顯學中的顯學,diaoge
她們應該去bg板發文 保證被某哥跟某粉推爆,diaoge
所以這事情到底真的假的?,FHShih
新聞一報不是更多人知道 = =,kantantantan
關鍵字 「今年結束國考」….,kantantantan
今天上午多家廠商都在整備，當時早餐店尚未營業，不知其,KAMINA
他店家本日是否開業。,KAMINA
今天中午去看到自助餐跟燒臘有營業,smile21ren
那真是太好了QQ,ToTo0306
https://i.imgur.com/JaQtFg2.jpg,ann141414
太好了，下週可以去吃了&gt; &lt;,jsstarlight
太好了改天去吃,kbt2720
樓上customer,a9075a9075
讚讚 台灣價值,Jimmy030489
讚讚讚,ieng2000
文學院歷史很重要OK 那工學院舊機械館那破牆有什麼,IokUdiefirst
好留下來的價值˙˙˙,IokUdiefirst
工綜表示:,jzoethai
台灣工程高等教育的起點R,bubblewu1103
不算技職教育的話,bubblewu1103
工學院舊機館是日本時代最後一棟建築，戰時物資節,camrivergimo
約下具巧思和效能的現代建築，領先時代，用料實在,camrivergimo
推，雖然台北市政府有很大的瑕疵,wang7050
啊就警衛亂搞啊，可能坐太久了無聊想捉弄學生，就醬,chocopie
調派職務很好啊,chocopie
也不用甚麼阻斷機制啦，反正就定期開會檢討問題,chocopie
推,pptricky
那很好啊，來匆匆去匆匆,chocopie
校方真的廢到可笑,jsstarlight
推後續,AprilMight
椰林燒臘不能亡,johnny1300
卡大一女美食介紹,larsky
空,cwh0105
燒灰不知道清光了沒 你先去當人體清淨機,jaids
燒完隔天看到有人在清 真的臭到不行QQ,seand8088503
連大一女宿舍裡面現在都還有臭味，餐廳再等等吧,mave
https://i.imgur.com/4R71GRV.jpg,sted0101
真的應該支持我們小智，抄襲哪有比說出學店兩個字嚴重,deathboy
更正，歧視學店,deathboy
https://i.imgur.com/9Sy9snq.jpg,celtics1997
三立繼續抹我們民眾黨 這樣台灣什麼時候才能進入新,eunhailoveu
政治,eunhailoveu
中肯,cycling
撇開賴不談 拿自己是純血來說嘴 不就是隱晦的戰學歷嗎==,jzoethai
他就算不是台大的 他論文的引用數也是驚人,nangaluchen
一個人自豪於自己的學術成就 也沒啥問題吧,nangaluchen
當到教授的校友不在乎台大有人論文抄襲，但很在乎其他台大,YCL13
人的血統純不純，只能說台大的教育真的失敗了,YCL13
事實證明 重考的/用碩士洗學歷的 台大仔,wen201989
都特別喜歡拿台大學歷來嗆人 自卑感作祟？,wen201989
小智受到台大迫害,s1025342
斷章取義搭配側翼媒體一條龍的亂抹，不得不說真的有效,saiga12416
的勒，台大醫院裡面還是一堆死忠仔,saiga12416
李忠憲也是寫臉書比寫論文認真的 成大名聲多臭 還出來蹭,NTUEE2CS
台大 名聲都被他搞臭了,NTUEE2CS
居於人性尊嚴 不應公開歧視中華大學及其學生,tinawyht35
她應該不一定歧視中華大學學生 只是想臭林智堅而已吧,shaqiantsai
上面那句打的不好 我是說她不一定歧視 應該只是想臭,shaqiantsai
他都道歉了，樓上再護航也沒用了,Xperia
這裡的風向真怪，跟現實世界相反，希望針對抄襲問題別再,Xperia
雙標了啦,Xperia
我沒有護航喔 我認為她那叫做不尊重和惱羞成怒 但是,shaqiantsai
我並沒有打算完全替她說好話 單純就她的說法找出她想,shaqiantsai
表達的意思只是針對特定人 我沒上這車也不完全認同她,shaqiantsai
北一女大學還考不上台大，滿丟臉的,Barefoot24
高就沒有抄襲問題 雙標個鬼,nangaluchen
高被講的跟林智堅那種咖一樣 會生氣很正常,nangaluchen
先潑髒水誣陷抄襲 人家拿出證據駁斥 結果新聞馬上轉移焦點,ctw01
改打她語病...什麼蟑螂戰術？,ctw01
高只是要酸治肩用抄襲方式灌水學歷，用詞雖說有點失言但也,ctw01
沒說錯什麼，結果現在鋪天蓋地去檢討的不是那些潑糞抹黑的,ctw01
人是否要為自己造謠言論負責，而是去攻擊高嘴了治肩的學歷,ctw01
？？,ctw01
智商學歷多低才會覺得高虹安是抄襲...,appleball200
引用的內容她是第一作者,appleball200
啊啊是塔綠班阿 智障不意外,appleball200
某些留言真丟臉 明顯抄襲的沒被罵 好好念書寫論文被罵,saiulbb
看了id才發現是偉大的朋友56，失敬失敬,chun10396974
不要再講純血不純血了…看了總覺得有點丟臉&gt;&lt;,ypyp
這種事情本來就是下略,bbbing
我抹黑你為你好，你反抗我是態度不好，意圖毀滅台灣,bbbing
有禮貌的好國民應該笑著接受國家對你的抹黑才對,bbbing
男一在上個世紀末就有聽說要拆了，只是學校沒辦法生出那,eddy13
麼多的新房間來頂，就一直拖著，沒想到轉眼就過了二十多,eddy13
年呀,eddy13
新大樓一直蓋 就是不蓋宿舍,cwh0105
幹我們四樓浴室天花板之前就坍過一次，修好又坍第二,jason90814
次，現在換交誼廳坍....,jason90814
住男一有夠可憐,jason90814
驚,a031405
有夠扯,daffodils
沒死人只是運氣好,daffodils
沒人捐錢蓋宿舍啊XD,washi54
還有哪邊有空間能蓋新男宿？,pig8409
新宿舍在蓋了呀,k04121226
在哪裡啊?,cwh0105
恩? 幾年前不是有整修過嗎? 還是我記錯,e2167471
記得常常都會因為宿舍整修導致暑宿床位不夠,e2167471
前幾年拆了校內的老宿舍都是拿去蓋大樓了,eddy13
長興BOT到地震中心那塊預計會蓋三千還是五千床,verdandy
今年暑住也有整修導致床位不夠的問題哦xD 不過是因,aristoIris
為牆面要重新粉刷,aristoIris
學校跟你說你提高宿舍費就讓幫你蓋那個可是自籌收入,kevin600339
呢,kevin600339
有蓋宿舍啊 蓋教職員宿舍,allsame
讓學生住危樓==,znling
只知道有人跳過樓去頂樓裝圍欄，整修是什麼？ 能吃嗎,physicsdk
之前住宿舍地震才四級晃超大大家都跑出來避難,hjkkk123
哈哈豬圈哈哈,isaswa
連結都死了,messi5566
建議原po把括號拿掉不然連結打不開，尤其是下括號,wei0506
應該要署名吧,notredray
推推,xhakiboo
推推推,jzoethai
推推推推推,crimson11
推推推推,cgsh
推推推,cuteSquirrel
推,prmotolprlin
推 暖心,chungrew
推,Dolce
推,lytt
推,jerejesse
推,maozz
推,sHakZit75
推推推,HaLouis
推！,aristoIris
九點多睡覺？,Moutza
推推,sheep00123
健康推,AprilMight
推太早睡了吧,therealcaco3
回來要隔離,maozz
男森也可以好嗎？請正視甲甲需求,CK0663
小丑,ptlove1222
考指考ㄅ,cwh0105
可 可惡,Usaria
指考相關吧 猜的,cuteSquirrel
他很常在台大出沒欸,jzoethai
似乎是廣告,ganhua
https://i.imgur.com/VxVJgqO.jpg,sweatysweat
他在推薦銅板必殺組合,sweatysweat
樓下萊卡,lytt
叛徒,jonathan793
可惡,jsstarlight
可...可惡 錯過啦QAQ,QAQQQn
How哥只是軟體==,FuYen
誰?,mark0204
台大佛地魔＝＝,unmolk
錯過了QQ,mjirislin
你的分類呢,LonzoBall
我們建議先分類,eunhailoveu
菜味超重,g81915
登入一千次還不知道要改外面,vct886
外面的分類還是沒改到 好啦不噓你,aquariuschi
都給我停起來,CK0663
斂財活動都給我停起來,trunnp
營隊一堆需要一起練習跳舞的，也不可能戴口罩,Nexvesk
該停是真的,Nexvesk
少賺一年而已有差？,chun10396974
暑假還久，可能期末再評估吧,greywagtail
馬ㄉ 我不能打球你們也不能辦營隊 森77,ross1103
斂財斂起來 營隊FaDaCai,yummy8765
幾歲了還營隊,willy2771
難吧 根本選不到這麼多課,jasonking3c
我原本想拚5年200 但一堆課簽不到 最後只拿了180,jasonking3c
我三年140,marcocl42
6.5年301,PlusUltra
我同學目前第五年，前四年加起來已經250了,chun10396974
我朋友前四年超過250==,kevin1212
我本來以為4年179很多 我直接被碾快100學分QQ,kevin1212
台大法醫學研究所乙組 5年176學分,halfmoon6
279學分畢業,smile12372
更正，是前四年283，大五上又修33，畢業時應該可以,chun10396974
五年350,chun10396974
當初4年212…,cgntutim
6年250一學期大概21 其實不算太多 樓上4年212才是真的鬼,jzoethai
五年218學分路過,amsjay0829
四年 197，正在讀第五年，看起來似乎不算多（？,s3131212
我大學四年206，現在想想其實也是包含一堆糞課,wwwh0225
四年250每學期要31欸 先不說超修的問題 課表真的都,Inglenook
不會撞課？,Inglenook
有暑修吧,thejackys
我四年225，但有段時間修課品質一度下降，感覺還是修,henry94014
得精比較重要,henry94014
大家都好厲害,stoiclogic
四年半203 討厭的是三堂一學分 整天兩學分的實驗課,aki80
三年153,ntupppeap
這篇底下的你各位學分怪物都是真。時間管理大師,shaqiantsai
五年實拿210,dumdumdum
八年817,IokUdiefirst
醫學院都是每周實習兩天半的課 才4學分...,FHShih
強者我同學又帥又有才華 光是大學醫學雙法律應該400,coldplay5566
我自己學+碩大概也才280…,coldplay5566
8年817是真的還假的==,futri752
8年是兩次大學？,rehtra
5 年 232,hank850503
好多神人,diabolica
佛系修課 佛系畢業 九年418學分路過,hecate4967
817確定不是在偷臭嗎xdd,luweber88
不是有一個醫學雙物理的修了383學分ㄇ,protonck
四年190,ann141414
我panpiano有一百零五萬是不是應該去當教育部長？,hsshkisskiss
推老黃,dogluckyno1
沒順便推出3090ti,pig8409
捐了多少資源給台大了,zzzz8931
台大跟這個人要了多少錢，這樣說比較好呵呵呵,kevin600339
他從小接受美國教育，跟NTU關係是？,mikebbb
有沒有校友優惠價,ekids1234
The 蹭,zouelephant
蹭,sjayyan
蹭,jaids
你校對深度學習和計算機結構貢獻良多阿,Apache
老黃有夠給面子,TuringNTU
莫名尷尬,divaxxxx
那是假ee真cs刷題仔,a000000000
真ee很慘 不過沒人管,a000000000
找不到藏頭 樓下幫找,cal28802672
小心推文,jhct110
管你多麼受學生愛戴，就算是哎吹潑衣肥肉甚至中研院士，,aarzbrv
如果被發現性侵屬實，恐怕被判刑才是應得的吧？,aarzbrv
笑死，花蓮五子的父母鄰居也說他們為人正常啊,rothanlin
什麼事都有可能發生啦,rothanlin
給樓主： EE 李致毅 教授本來就傳很久是這種人。你會,vbhook89
講說他不可能那代表你沒念過電機係 要不然你就是他的,vbhook89
學生跟他有利害關係,vbhook89
不要來網路上亂貼文 再幫李汁液 辯護了 ~~ 我覺得他這一,vbhook89
次就算刑事沒事 台大他也待不下去了,vbhook89
如果我是 李汁液 這一兩天就準備自己先滾 然後先跟所,vbhook89
長、院長報備。,vbhook89
尤其 口能 連 劉深淵 這位類比超大咖 私底下應該也是,vbhook89
早就對李汁液 這方面私德的行為不滿 不信到法庭可以,vbhook89
來到告我 然後我找劉深淵來作證,vbhook89
大家到法庭來對質一下 看看李汁液這方面的行為 是不是,vbhook89
電機系幾個大咖 早就對他很不爽了 ，笑死,vbhook89
我這個ID實名認證 歡迎李汁液來告我 剛好由法院來認,vbhook89
證,vbhook89
我講的是不是都是真的 對樓主笑死,vbhook89
為了台大的公共利益 這幾名大咖類比教授 只能出來作,vbhook89
"證了, 以上 樓主還要嘴嗎？",vbhook89
李汁液 請滾！！！,vbhook89
喔喔喔喔釣出來了,lobabun
這篇反串吧 田同學也不口交,jason90814
有可能跟陳興一樣，私德跟法律是兩回事,xBox1Pro
樓上感覺這一篇沒有「反串」 ~~ 而台大本來就要淘汰不適,vbhook89
任教師 出了這樣的事 就自己滾一滾最快 念電機系的會,vbhook89
不知道這一些八卦？？ 院長不要再客氣了 該怎麼辦就怎,vbhook89
麼辦 李汁液最好就自己先滾 還在幻想可以留在台大？？,vbhook89
？ 我只是講出了一些人的心聲 懂玩？ 笑死！！,vbhook89
歡迎李汁液 跟我一起到法院認證,vbhook89
不是做一些廢物的100g電路 專發發paper 就可以玩 那,vbhook89
都是假的 這在一些行家眼中根本「看不出有什麼用」,vbhook89
懂？？,vbhook89
100g電路可以用在5G阿 超大頻寬,PyTorch
嘻嘻 樓上比我幽默,vbhook89
讀過電子所的大概都能分得出這篇是不是反串 XD,e2167471
嘻嘻 我分不出來 足證我不是電子所的 推樓上的幽默,vbhook89
紅明顯,vbhook89
我寫到這樣苦口佛心了 - 李致毅或他的學生或得過他好處,vbhook89
的- 還看不懂的話 我也只能無奈笑笑了~~ 歡迎找我去,vbhook89
法院認證 請李致毅找100個律師來告我 這樣就可以弄清,vbhook89
一切了 懂？ 答案都還是只有一個 請李致毅要深自反,vbhook89
省 ok?,vbhook89
「接納自己的不完美 你並不是最好的」 聽得懂 則你李致,vbhook89
毅就能釋懷了 請放過自己,vbhook89
我上面這句話也是有部分稱讚你 聽得懂就聽得懂 ok?,vbhook89
我講這些 算是我做功德了,vbhook89
XD,stoiclogic
唉 年輕人就是年輕人 要有武德,vbhook89
要玩就要承擔,vbhook89
https://i.imgur.com/iU7nW6w.jpg,madeathmao
八卦板搜尋“狼師” 剛 李致毅的某位助理已出來 現身起,vbhook89
底了,vbhook89
有掛 敢出來 就該推,john668
電子所超雷，還有人想讀啊......,smile12372
這反串也太低劣==,jzoethai
求掛,nigelhu7
新掛： 請張君豪記者現身說法 站出來當個稱職的記者,vbhook89
我的1kg電路淫了,apttman
我的也壞了氣死,xd878787
登不進去+1 樓下brokenceiba,vct886
樓下賴伯瑞,unmolk
要寫作業不能開==,DamianLillar
登不進去+1 @@,sean11345
登不進去QQ,sotheresthat
樓下BrokenCeiba,kingwilly71
樓下Ceiba,cuteSquirrel
期末例行公事,IKEMENNN
恩踢悠希八正常發揮,aquariuschi
慘,JohnCeiba
樓上冏吸把,SSCSFE
好想交作業喔喔喔喔喔喔喔喔,unmolk
疑西吧恢復了！,unmolk
用令咒強制服從啊,cwh0105
樓下BrokenCeiba,ystaty17
可能正在補魔中,arrenwu
學店,hoos891405
好爛,zxnstu3104
習慣就好,ceiba5566
雪店日常,alphacar
樓下BrokenCeiba,yaowei2010
疫情沒搞好說不定下學期還會延後開學噢,jason90814
確定迎新還辦得起來ㄇ,lanreless
可能開學會給緩衝時間吧@@,cuteSquirrel
反正沒實體暑修了 臺大多的是教室借考場,dosoleil
請問樓上暑修有確定全改線上了嗎 是我沒follow到嗎QAQ,cuteemo
恐怕要視訊迎新惹，這樣有些家裡沒設備的新生可能被冷落,aarzbrv
(不排除有家境清寒不用3C設備照樣考進來的好青年吧),aarzbrv
除非爆肝縮短期程，不然成績公布填志願放榜報到註冊,AprilMight
選課，趕不上9/1吧，不過三校聯盟應該還在等教育部w,AprilMight
來個看起來就很可憐的紙本/線上新生書院吧XDDD,AprilMight
線上迎新 線上宿營/書院 下一步是線上系烤?,jzoethai
線上X友週 線上之夜 線上宿營,Crissangel
當然，別忘了線上視訊學伴！,aarzbrv
一階選課從 8/16 開始... 這樣是不是要延期了？,aristoIris
再延都不可能開學前選完 只能延開學或新生之後再選,NomeL
延到10/1開學還是能準時放寒假，反正一學期剩下16週,Biederstein
，有很多操作空間,Biederstein
新的112學生 新的一批新警察,ssd860505da
"""Level 3 alert extended""",fun5566
其實大學教育真的沒有必要存在，自由在網路上學習就可以了,taipoo
沒宿營沒迎新沒舞魂，大學猴保證超少，整體水準台大有史以,daye87
來最高。,daye87
大學教育比較像套餐吧，給沒有方向不會找資源的人一個,olioolio
可以依循的方向,olioolio
可以請版主辦PTT線上烤肉ㄇ？,ystaty17
開學時間似乎會延後了,uuss
剛突然想到不是有切成三學期多收學費計畫嗎？,aarzbrv
還我全家,thenolet
還我全家,nodnarb1027
萊爾富咖啡宇宙難喝,Bighand007
還我全家啦,lesserpanda
還,joseph40
我,cuteSquirrel
漂,cwh0105
漂,xhakiboo
拳,minicoke
頭,Imotucc
文,thejackys
化,puffer3635
物,misaka0120
ㄞ,isaswa
鳳,romeer
凰,ri31625
還,mHRUed
敢,sam122094
下,IokUdiefirst
媽的真的是劣幣驅逐良幣,howard0113
還我全家,ranway
好像有看到六台自助微波w期待誠實ㄉ人潮擠爆ww,AprilMight
= =,installbtien
還我全家,divestar
韓,pipi8696044
歸,cwh0105
投,klub
好想吃曠世,zxnstu3104
奇才,FlyingShark
還我全家,PCSH120
= =,prmotolprlin
美式不是都苦嗎 7-11 全家的也都是蠻差的,hoos891405
怒噓萊爾富,aquariuschi
怒,imagine155
國青開一家 隔條馬路再開一家 現在又把觸手伸進來大公園,SSCSFE
要全家只能走去女九了,mtyk10100
萊爾富真的爛,poodysh
還我全家深夜宅歌店員,ccderek
幫噓,chris032796
全家哩,starsstars
= =,sikerkuaitai
哇 有金六結的fu,husky01
還我全家,isorange
台灣大學裡面開台灣品牌超商 讚讚讚,b7239921
幹這啥小,kensues
還我全家,softlifafa
超難吃,applebob
冷凍食品超噁 有次買了辣味炒飯 結果真的只有辣味,jonathan793
吃一口就丟了,jonathan793
給我7,sean8511
...,bluechess
慘死,cal28802672
還我全家！！萊爾富有夠爛！！,xianyao
全家咧,ProSpicy
萊爾富為什麼沒被全家和小七打趴，明明輸很多,hjkkk123
啟航,taipoo
YOSOROOOOOOOOOOOOOOOOOOOOOOOOO~,arrenwu
AHOY!,a895442006
好油,bubblewu1103
開學啦,briany329
不想開學+1 QQ,pipi8696044
頭推,cwh0105
加簽大地跑起來,uid28971899
https://i.imgur.com/RcHk8QD.jpg,stereopony
自主放假了啦,hippo130
有哪些體育簽的到啦~~~Imotucc不想岩壁,Imotucc
https://i.imgur.com/pRLFKUw.jpg,stereopony
https://i.imgur.com/SR0kOPp.jpg,stereopony
啊…順序放反了……,stereopony
有人在嗎,znling
https://i.imgur.com/7YyKmFJ.jpg,stereopony
https://i.imgur.com/mOsp5FX.jpg,briany329
https://i.imgur.com/qldJViX.jpg,stereopony
https://i.imgur.com/kD6CBRm.jpg,briany329
工綜四樓有異味有人有頭緒嗎,yeti00
https://i.imgur.com/IBZoR45.jpg,anomic24
"樓下 很多人考的高中題目 把數字改為5.6,你寫得出答案嗎?",fun5566
https://i.imgur.com/pp2Uzxi.jpg,stereopony
https://i.imgur.com/BGJxNNq.jpg,briany329
河馬河馬,hippo130
https://i.imgur.com/EgWAo9s.jpg,stereopony
briany不要搶咪胖= =,anomic24
咪胖很可愛 嘻嘻,briany329
https://i.imgur.com/96qbYBr.jpg,anomic24
https://i.imgur.com/TW5WAtI.jpg,briany329
來幫三月置底放一張拉麵好了,anomic24
https://i.imgur.com/1tH9MjR.jpg,anomic24
https://i.imgur.com/VjvpsLk.jpg,anomic24
今年我有19張拉麵可以放,stereopony
https://i.imgur.com/TxklSjG.jpg,stereopony
s大那家感覺不錯，想求店名XD,a21096
http://imgur.com/csDcN9U,a21096
那家 富山天滿,stereopony
菜單 https://i.imgur.com/l1bfBlJ.jpg,stereopony
但是這家要有麵條不好吃的心理準備,stereopony
不過除了麵條以外 其他東西真不錯 然後生魚片好ㄘ,stereopony
https://i.imgur.com/lSO4Dls.jpg,briany329
多謝s大，感覺要找時間去嘗試看看了XD,a21096
http://imgur.com/x9JLLs2,a21096
https://i.imgur.com/WV0MVbC.jpg,anomic24
https://i.imgur.com/MjOmBoG.jpg,briany329
話說不知道影山有沒有考上 昨天放榜都沒消息,briany329
我都忘了我有推影山了,anomic24
過於DD,briany329
https://youtu.be/gGIFpMkcx_s 哭了嗚嗚,briany329
今天13號星期5,fun5566
明天白色情人節,stereopony
13日の金曜日,briany329
情人節也沒用反正沒人過QQ,anomic24
我要跟美玖約會~,briany329
https://i.imgur.com/CHqjw9B.png,stereopony
0.0,NanaoYuriko
https://i.imgur.com/QJgYVGB.png,stereopony
中研院那篇爆掛怎麼被刪了?,Karrigan777
現在校外的人禁止進入 所以早上的牛奶不用被老人搶光了？,OvvO
各位身旁有沒有台大學生是從國外回來的啊 好奇,anomic24
有人mail現在也404打不開嗎,henry4204aaa
"char...寫了小學數學的答案, 害me損失了36p幣.",fun5566
四月了,stereopony
https://i.imgur.com/vkKiLxI.png,isaswa
拉麵公子的直球煮干好猛 洋蔥多一點會更好,isaswa
"今天是愚人節！ 樓下, 台大是不是都是愚人? 沒有人的高中",fun5566
"答案跟me一樣, 沒有人拿到P幣, 還是me算錯高中答案?",fun5566
你是不是之前在數學版亂發文的BOT啊,isaswa
^^ 陌生人你先寫一下高中答案是多少,fun5566
D(5566)=?,fun5566
要不然很像讀台大的智x x障 連文章都看不懂 在說人亂發文,fun5566
",是吧?",fun5566
customer 好久不見,jason90814
去讀書,xhakiboo
現在人都不認識杜聰明了嗎,xhakiboo
台大是公認的...,halfmoon6
台大醫學院普遍鄙視中醫,renna038766
這不是宗教系那類的嗎 妙蟬搞不好比較有用,minicoke
不知道杜聰明去google一下吧，台灣歷史上第一個醫學博,tibo96033
士,tibo96033
這什麼廢文,all6058
熟悉的customer 熟悉的廢文,jzoethai
不知道,mark0204
台大沒有語言治療系 放射系才怪,tom282f3
漢藥系,lysimach
我比較好奇為啥你覺得台大要有中醫系才好,shaqiantsai
big mon 是巨大的星期一嗎,YHHinNTU
要不要乾脆每個沒有的系都問一次?,qtzbbztq
為什麼要有中醫系？對臺大有什麼幫助？,qwer87511
為何以前沒有超能力研究所,ab304044
喔,musichong100
校區外就不歸學校管,eskawater
掰,plsmaop
死好 笑死再亂亭 齁粉素質,WuhanWinnie
誰叫你要亂停車,Rosmarin
把羅斯福路買下來送給臺大就可以只拖水源了給你參考,WuhanWinnie
再違停啊,NomeL
nobike2.0,troglodyte
你繼續停我繼續拖,allsame
"你要誰保證你""幹你娘""的權益?",mark0204
記得不要交罰款，就可以去讀城鄉所了,stewardship
違停氣噗噗,ohmyrm
違停死好,karles
2.0真的永遠沒車,kenness1019
2.0真的貴又常沒車= =,a58524andy
違停就乖乖繳錢啦==,SSCSFE
再亂停啊笑死,AprilMight
我還以為是被偷車咧,dreamgirl
齁粉素質 違停護航？,Jimmy030489
為什麼學生不能選自己學校的校長,qwer87511
爽啦,storewater
還敢護航啊違停仔,jzoethai
齁粉之恥peko,CK0663
齁粉素質展示,IokUdiefirst
龍門哪有多遠啊= =?,winiel559
哈哈哈,Nagesa
垃圾違停仔還敢大聲,ivstitia
不繳罰款城鄉所 笑死,prettypaty
不要拉低齁粉素質欸,daye87
素質真差= =,wesley818
每次經過都對旁邊那堆破車心想：抓進勞改營，還敢下,ssd860505da
來啊,ssd860505da
違規達人是4ni？,eddy13
停好還會被拉出來 幹,eddie909
到時候有人崩潰每天把車拉出停車區,xiou
可憐哪,HikawaKyouka
你可以摔他鍵盤,taipoo
抱歉 是我啦,daye87
那就沒辦法了,taipoo
另一種是滑鼠按鍵很大聲,cuteSquirrel
很多人使用習慣真的很差...按超大力，桌子都會震,KnifePTT
翻書 用筆也一堆超級大聲的,kenness1019
一句話 就是可憐哪,trymybest
低能在那邊一直敲enter,ssd860505da
我們社團沒有終生制，但收支都會有紀錄，也會有社員名單,wei0506
感覺其他社團也都會有紀錄,wei0506
終身當然是直接回去啊 不然繳心酸的?,alvistan
進去先嘴菜比芭你幾T的,nahsnib
回去找幹部查紀錄r,Kona72956
變地縛靈啊,tom282f3
尋雲手語之前就有一些出社會比較有空回來帶的社員,a031405
社團內帳目以外應該也有不少通訊群組可以佐證（吧？,AprilMight
第一次聽說終身會費wwwww,AprilMight
有終生會員也沒有終生會費吧 每學期還是要繳才能上社課,tkg2012
可以來著遊戲社R 繳兩學期社費直接升級永久社員,charlie1667
不會有老人臭嗎？,hjkkk123
副總統來社科院演講,lovewuu
五樓不慎追尾黑色高級轎車,cwh0105
台大要準備淪陷重災區...這個形容會不會太驚悚,bobwang
用重災區形容師大也不妥呀,bobwang
建仁來打球 這也不知道,thenolet
幫我去買牛奶的嗎,kbt2720
visitor,mHRUed
看車子應該是聖騎士,threeba
有踢足球的去撞車嗎,mtyk10100
唐突惡臭,Flandre495
防疫專家來上課 結果那堂課根本沒有好好的防疫,ChenStar
遠距改成一些人遠距，其他人還是要來上課ㄏㄏ,ChenStar
真諷刺,ChenStar
諷刺什麼啦，那些整天喊應該要停課的到底什麼心態啊，啊,brmidjge
台灣就還沒嚴重到要封城啊，啊捷運也很危險啊餐廳也很危,brmidjge
險啊你都不要搭都買回家自己煮啊，禁足最安全啦你怎麼不,brmidjge
把你自己關在家整天出來刷存在感？真諷刺,brmidjge
不能上課疫情比較嚴重的學校早就都停課了，只是你認為我,brmidjge
們也要停課學校還沒說要停就瘋狂批鬥，就你最厲害你最懂,brmidjge
？有人也覺得要封台灣了啊是不是全體都不能出門,brmidjge
整天喊停課?你是有看到我整天喊停課逆?,ChenStar
阿學校就說100人以上的課遠距，這堂課就把它分成60個人,ChenStar
實體，其他遠距，大喇喇地鑽漏洞，然後上課對象是公衛專,ChenStar
家，我表達自己的意見你是在大聲什麼?,ChenStar
還有，遠距=停課?,ChenStar
我都搭捷運都到餐廳吃飯啊，我也不認為現在有嚴重到外,ChenStar
面都不去啊，阿學校就這樣規定政府就這樣規定,ChenStar
我是有AA叫學校應該改成這樣改成那樣?,ChenStar
我不過回一兩篇文而已，整天刷存在感勒，自以為遇到覺青,ChenStar
有人覺得台灣要封干我屁事?我又不覺得要封,ChenStar
停課就是遠距的意思啦不要挑這種沒意義的語病,brmidjge
100以上遠距分成60不就變通方法？邏輯？不停課就只能這,brmidjge
樣上課啊,brmidjge
規定學校訂的有的教授就是覺得遠距教學效果不好，就像這,brmidjge
種演講課本來就很多人不會認真聽了還改成線上更不會聽有,brmidjge
